name,address,lat,lng,rating_2016,status
ますたにラーメン 田町店,港区芝5-25-9,35.647299,139.744774,3.5,閉店
麻布ラーメン 芝浦店,港区芝浦3-12-4,35.642547,139.749542,3.3,閉店
太陽のトマト麺 三田店,港区三田3-3-3,35.647244,139.74373,3.15,閉店
てるぼうず,港区芝5-21-15,35.648348,139.746678,3.2,閉店
太龍軒 田町店,港区芝5-17-11,35.648465,139.746708,3.1,閉店
壱角家 三田店,港区三田3-1-13,35.647496,139.744263,3.05,閉店
天下一品 田町店,港区芝5-17-11,35.648475,139.74673,3.05,閉店
らぁめん 丸,港区芝5-30-5,35.646532,139.745148,3.1,閉店
四天王 田町店,港区芝5-31-15,35.646675,139.746445,3.0,閉店
げんこつ屋 三田店,港区芝5-31-7,35.646858,139.746614,3.0,閉店
麺処こぶし 慶應通り店,港区芝5-24-12,35.647912,139.745113,3.1,閉店
日の出らーめん 田町分店,港区芝5-11-13,35.649167,139.745732,3.05,閉店
ラーメン二郎 三田本店,港区三田2-16-4,35.64895,139.74555,3.68,営業中
むらさき山,港区芝5-23-8,35.64828,139.74531,3.55,営業中
横浜家系らーめん 武源家,港区三田3-1-2,35.6473,139.74395,3.55,営業中
やっとこ 三田店,港区三田3-1-1,35.6472,139.7441,3.52,営業中
麺屋武蔵 芝浦店,港区芝浦3-12-5,35.64315,139.7492,3.54,閉店
博多一瑞亭 三田店,港区芝5-25-11,35.6475,139.7448,3.54,営業中
三田製麺所 三田本店,港区芝5-22-8,35.6476,139.7452,3.31,営業中
壱角家 田町店,港区芝浦3-7-15,35.6437,139.7485,3.08,営業中
香家 三田店,港区芝5-29-18,35.6468,139.7457,3.41,営業中
豚骨醤油らーめん 學虎,港区芝5-31-7,35.646858,139.746614,3.06,営業中
麻布ラーメン 慶應三田店,港区芝5-14-14,35.6492,139.7446,3.2,閉店
麺屋武蔵 芝浦別巻,港区芝浦3-6-8,35.6435,139.7488,3.4,閉店
北の大地 三田店,港区芝5-25-7,35.6474,139.7449,3.1,閉店
天空,港区三田3-3-6,35.6471,139.7436,3.1,閉店(移転)
麻布ラーメン 芝四丁目店,港区芝4-5-15,35.6508,139.7462,3.29,閉店
